Empresas, Ftype, Investors
Creditas, Series A, Redpoint eventures
Creditas, Series A, Investo
Creditas, Series A, Quona Capital
Ecommet, Convertible Note, Mercado Libre Fund
Colppy, Seed, Velum Ventures
Magnetis, Seed, Monashees
Magnetis, Seed, Redpoint eventures
Ibushak, Convertible Note, Mercado Libre Fund
00K E-Commerce Tools, Convertible Note, Mercado Libre Fund
Visent, Seed, Bozano Investimentos
Visent, Seed, Criatec 2
123Reformei, Seed, Redpoint eventures
Pipefy, Seed, Redpoint eventures
RD Station, Series B, Redpoint eventures
RD Station, Series B, DGF Investimentos
RD Station, Series B, Astella Investimentos
ShiftLabs, Seed, Investo
PSafe Technology, Series D, Redpoint eventures
Cornershop, Seed, ALLVP
Inventive Power, Seed, Angel Ventures
HCO, Seed, Bozano Investimentos
HCO, Seed, Criatec 2
Joy Street, Seed, Bozano Investimentos
Joy Street, Seed, Criatec 2
gurucargo.com, Seed, Angel Ventures
Brasil Ozônio, Seed, Bozano Investimentos
Brasil Ozônio, Seed, Criatec 2
Econduce, Seed, DILA Capital
Contabilizei, Seed, Kaszek Ventures
GetNinjas, Series B, Monashees
GetNinjas, Series B, Kaszek Ventures
Lupeon, Series A, SP Ventures
Mercos, Venture - Series Unknown, Monashees
Jott, Venture - Series Unknown, Monashees
Jott, Venture - Series Unknown, Alta Ventures Mexico
FormaFina, Seed, Redpoint eventures
FormaFina, Seed, ALLVP
FormaFina, Seed, Velum Ventures
Nubank, Series B, Kaszek Ventures
Nubank, Series B, Investo
Hogaru, Angel, Velum Ventures
TappTime, Seed, Mountain Nazca
Petsy, Venture - Series Unknown, Mountain Nazca
Aliada, Seed, DILA Capital
Pipedrive, Seed, Monashees
EduK, Series B, Monashees
Biva, Seed, Kaszek Ventures
Unbabel, Seed, Investo
Tu Canton, Angel, Angel Ventures
Tu Canton, Angel, DILA Capital
Acsendo, Seed, Velum Ventures
Prepona, Venture - Series Unknown, Bozano Investimentos
SegundoHogar, Seed, Angel Ventures
Escale, Seed, Redpoint eventures
Oktagon Games, Series B, Confrapar
Miroculus, Seed, Mountain Nazca
Junar, Series B, Aurus
YContent, Series A, e.Bricks Ventures
Onko Solutions, Convertible Note, Angel Ventures
"Onlulo,  Inc",Seed, Alta Ventures Mexico
Nuve, Series A, Alta Ventures Mexico
Dress & Go, Series A, Kaszek Ventures
Smartbill Assinaturas, Series A, SP Ventures
Smartbill Assinaturas, Series A, Astella Investimentos
99, Series B, Monashees
ChileTrabajos, Seed, Magma Partners
Olist, Seed, Redpoint eventures
Tu Canton, Venture - Series Unknown, Angel Ventures
Tu Canton, Venture - Series Unknown, DILA Capital
Cortex Intelligence, Series A, Redpoint eventures
Tutorya, Seed, Velum Ventures
IntooBR, Seed, Monashees
Médica Santa Carmen, Series A, ALLVP
Médica Santa Carmen, Series A, Promotora Social México
Bluesmart, Seed, Monashees
Bluesmart, Seed, Mountain Nazca
Estrategia Energía Eléctrica, Seed, ALLVP
Mercado Eletrônico, Private Equity, DGF Investimentos
YOP, Seed, Kaszek Ventures
YOP, Seed, Kaszek Ventures
Farmacias Personalizadas, Series A, ALLVP
MR Presta, Seed, Mercado Libre Fund
Bandhub, Seed, Angel Ventures
ContaAzul, Series C, Monashees
VoxFeed, Seed, Mountain Nazca
Ventrix, Seed, Bozano Investimentos
Ventrix, Seed, SP Ventures
Ventrix, Seed, Criatec 2
ChefsClub, Series A, Confrapar
Me Salva!, Seed, e.Bricks Ventures
AppProva, Seed, e.Bricks Ventures
99, Series A, Monashees
NEXXTO, Series A, SP Ventures
HTP Solution, Seed, Bozano Investimentos
HTP Solution, Seed, Criatec 2
