Investors,Empresa,Ftype
Redpoint eventures,123Reformei,Seed
Redpoint eventures,Pipefy,Seed
Astella Investimentos,RD Station,Series B
DGF Investimentos,RD Station,Series B
Redpoint eventures,RD Station,Series B
Investo,ShiftLabs,Seed
Redpoint eventures,PSafe Technology,Series D
ALLVP,Cornershop,Seed
Angel Ventures,Inventive Power,Seed
Bozano Investimentos,HCO,Seed
Criatec 2,HCO,Seed
Bozano Investimentos,Joy Street,Seed
Criatec 2,Joy Street,Seed
Angel Ventures,gurucargo.com,Seed
Bozano Investimentos,Brasil Ozônio,Seed
Criatec 2,Brasil Ozônio,Seed
DILA Capital,Econduce,Seed
Kaszek Ventures,Contabilizei,Seed
Kaszek Ventures,GetNinjas,Series B
Monashees,GetNinjas,Series B
SP Ventures,Lupeon,Series A
Monashees,Mercos,Venture - Series Unknown
Alta Ventures Mexico,Jott,Venture - Series Unknown
Monashees,Jott,Venture - Series Unknown
ALLVP,FormaFina,Seed
Redpoint eventures,FormaFina,Seed
Velum Ventures,FormaFina,Seed
Kaszek Ventures,Nubank,Series B
Velum Ventures,Hogaru,Angel
Mountain Nazca,TappTime,Seed
Mountain Nazca,Petsy,Venture - Series Unknown
DILA Capital,Aliada,Seed
Monashees,Pipedrive,Seed
Monashees,EduK,Series B
Kaszek Ventures,Biva,Seed
Investo,Unbabel,Seed
Angel Ventures,Tu Canton,Angel
DILA Capital,Tu Canton,Angel
Velum Ventures,Acsendo,Seed
Bozano Investimentos,Prepona,Venture - Series Unknown
Angel Ventures,SegundoHogar,Seed
Redpoint eventures,Escale,Seed
Confrapar,Oktagon Games,Series B
Mountain Nazca,Miroculus,Seed
Aurus,Junar,Series B
e.Bricks Ventures,YContent,Series A
Angel Ventures,Onko Solutions,Convertible Note
Investo,"Onlulo, Inc",Seed
Alta Ventures Mexico,Nuve,Series A
Kaszek Ventures,Dress & Go,Series A
Astella Investimentos,Smartbill Assinaturas,Series A
SP Ventures,Smartbill Assinaturas,Series A
Monashees,99,Series B
Magma Partners,ChileTrabajos,Seed
Redpoint eventures,Olist,Seed
Angel Ventures,Tu Canton,Venture - Series Unknown
DILA Capital,Tu Canton,Venture - Series Unknown
Redpoint eventures,Cortex Intelligence,Series A
Velum Ventures,Tutorya,Seed
Monashees,IntooBR,Seed
ALLVP,Médica Santa Carmen,Series A
Promotora Social México,Médica Santa Carmen,Series A
Monashees,Bluesmart,Seed
Mountain Nazca,Bluesmart,Seed
ALLVP,Estrategia Energía Eléctrica,Seed
DGF Investimentos,Mercado Eletrônico,Private Equity
Kaszek Ventures,YOP,Seed
Kaszek Ventures,YOP,Seed
ALLVP,Farmacias Personalizadas,Series A
Mercado Libre Fund,MR Presta,Seed
Angel Ventures,Bandhub,Seed
Monashees,ContaAzul,Series C
Mountain Nazca,VoxFeed,Seed
Bozano Investimentos,Ventrix,Seed
Criatec 2,Ventrix,Seed
SP Ventures,Ventrix,Seed
Confrapar,ChefsClub,Series A
e.Bricks Ventures,Me Salva!,Seed
e.Bricks Ventures,AppProva,Seed
Monashees,99,Series A
SP Ventures,NEXXTO,Series A
Bozano Investimentos,HTP Solution,Seed
Criatec 2,HTP Solution,Seed
Velum Ventures,Asegurate Facil,Seed
Angel Ventures,Venzee Technologies Inc.,Convertible Note
Astella Investimentos,Itaro,Series A
Inseed Investimentos,Tbit,Seed
DGF Investimentos,Mosyle,Seed
Criatec 2,bLive,Seed
Investo,Rappi,Seed
Investo,Redspread,Seed
CRP Companhia de Participaçõe,Carobhouse,Series A
CRP Companhia de Participaçõe,ALavadeira,Series A
Mountain Nazca,nubelo,Venture - Series Unknown
Bozano Investimentos,Siteware,Seed
Criatec 2,Siteware,Seed
Alta Ventures Mexico,Nuve,Series A
Aurus,Andes Biotechnologies,Venture - Series Unknown
Monashees,First Opinion,Series A
e.Bricks Ventures,Infracommerce,Venture - Series Unknown
DGF Investimentos,Concil,Series A
SP Ventures,Concil,Series A
ALLVP,Voy al Doc,Seed
Angel Ventures,Voy al Doc,Seed
e.Bricks Ventures,Prontmed,Seed
Aurus,Capitalizarme,Venture - Series Unknown
Mountain Nazca,Capitalizarme,Venture - Series Unknown
Mountain Nazca,Club Point,Venture - Series Unknown
Angel Ventures,Rocket.La,Seed
T2M Capital,Rocket.La,Seed
Redpoint eventures,Grupo Xango,Series B
Angel Ventures,IguanaFix,Seed
Astella Investimentos,Sophie & Juliete,Series B
Redpoint eventures,Sophie & Juliete,Series B
Bozano Investimentos,Dot Legend,Seed
Criatec 2,Dot Legend,Seed
Angel Ventures,Clip,Series A
ALLVP,Nubity,Seed
Mountain Nazca,My Sports Box,Seed
Alta Ventures Mexico,Converus,Venture - Series Unknown
ALLVP,Médica Santa Carmen,Series A
Alta Ventures Mexico,Wanderu,Series A
Investo,Pocket Supernova,Seed
Velum Ventures,OFI,Venture - Series Unknown
Kaszek Ventures,NubeliU,Seed
Redpoint eventures,PSafe Technology,Series C
Kaszek Ventures,Love Mondays,Seed
Redpoint eventures,Carreira Beauty,Seed
Redpoint eventures,BovControl,Seed
